field, new_value
census_var, pct_under18_disability
census_var, pct_under18_renters
census_var, pct_under18_unins
census_var, pct_under18_pov
census_var, pct_under18_white_alone
census_var, pct_under18_black_alone
census_var, pct_under18_asian_alone
census_var, pct_under18_white
census_var, pct_under18_hisp
census_var, pct_under18_all_other_races_alone
census_var, pct_under18_limited_eng_hh
census_var, pct_pov_children
census_var, pct_pov_seniors
census_var, pct_pov_white_alone
census_var, pct_pov_black_alone
census_var, pct_pov_asian_alone
census_var, pct_pov_hisp
census_var, pct_pov_white
census_var, pct_pov_all_other_races_alone
census_var, pct_pov_bach
census_var, pct_pov_less_than_hs
census_var, pct_pov_foreign_born
census_var, pct_pov_unemployed
census_var, pct_pov_veterans
census_var, pct_pov_disability
census_var, pct_pov_unins
baseline_vars, total_pop
baseline_vars, under18_pop
baseline_vars, pov_pop